Segment,Comparison,CAGR Delta,MaxDD Improvement,Sharpe Delta,Volatility Delta,Turnover Delta,Trade Count Delta
Full,SPY,0.000146738205957897,0.015598500673317361,0.0005639826841395967,0.00012500207011484354,0.05313818667890757,4
Full,Portfolio 50/50,7.532047857927715e-05,0.0075401465878988105,0.000285051259232727,5.136773841370179e-05,0.026569093339453786,2
Full,Portfolio config weights,3.201992283408117e-05,0.003608855049907045,0.000285051259232616,2.183128882583124e-05,0.011291864669267682,2
2008-2013,SPY,-0.003987873538631392,-2.220446049250313e-16,-0.04270412345515873,0.0002632253505703702,0.2497251889820742,4
2008-2013,Portfolio 50/50,-0.00200757790652073,2.220446049250313e-16,-0.019098993797064256,6.596274188072626e-05,0.1248625944910362,2
2008-2013,Portfolio config weights,-0.0008202155873904271,0.0,-0.019098993797064034,2.803416529930519e-05,0.05306660265869034,2
2014-2019,SPY,0.0,0.0,0.0,0.0,0.0,0
2014-2019,Portfolio 50/50,0.0,0.0,0.0,0.0,0.0,0
2014-2019,Portfolio config weights,0.0,0.0,0.0,0.0,0.0,0
2020-2022,SPY,0.006640107521376226,0.01036364666636147,0.045391071742306166,0.00024149968274261857,-0.14380756776542025,0
2020-2022,Portfolio 50/50,0.003345586584272864,0.0049817143383046325,0.02255199833613697,0.0002029628587068566,-0.023293501151580465,0
2020-2022,Portfolio config weights,0.0013856328390970951,0.0023831266496552317,0.02255199833613719,8.625921495040295e-05,-0.009899737989421897,0
2023-End,SPY,0.002192233220977169,1.1102230246251565e-16,0.01938753575035057,-9.019278403536723e-05,0.0,0
2023-End,Portfolio 50/50,0.0011323807792402718,2.220446049250313e-16,0.009708701135074937,-9.061002846003086e-05,-0.07499999999999929,0
2023-End,Portfolio config weights,0.00044083027508534656,0.0,0.009708701135074271,-3.850926209551103e-05,-0.031874999999999876,0
