Name,Start,End,Total Return,CAGR,Max Drawdown,Annual Avg Max Drawdown,Sharpe,Volatility,Final Equity,Average Position,Min Position,Max Position,Turnover,Trade Count
QQQ Base,2008-01-31,2026-04-30,5.413708075271187,0.10722833067586479,-0.20175178060000953,-0.07193218300875774,0.8940765491656809,0.12214542259045436,641370.8075271187,0.731077892684214,0.0,1.0,43.421348977726154,155
QQQ Continuous Overlay,2008-01-31,2026-04-30,4.395399849735448,0.09678573587043382,-0.2146065617149865,-0.06898706970657024,0.8843337361804807,0.11134455843093048,539539.9849735447,0.6727602122126598,0.09819157755015932,0.9356476719815973,32.92818530234245,220
QQQ Ladder Overlay,2008-01-31,2026-04-30,4.749684725723872,0.10061556826908058,-0.23121160029357735,-0.07360968225698801,0.8644614680223323,0.11894730083247106,574968.4725723872,0.7181233472296685,0.0,1.0,42.10979629992503,170
SPY Base,2008-01-31,2026-04-30,2.539286182506121,0.07173089935570154,-0.1551843666002508,-0.06190614159012291,0.7488160994373855,0.09883375314545395,353928.6182506121,0.7405149167143014,0.0,1.0,26.38653005451441,178
SPY Continuous Overlay,2008-01-31,2026-04-30,2.105578617464085,0.06407943135313654,-0.14099588179570932,-0.06030891497281001,0.7198078657360175,0.09194981220571184,310557.8617464085,0.6824503491925971,0.07328225023218529,0.9411461530855976,19.684088607184844,220
SPY Ladder Overlay,2008-01-31,2026-04-30,2.501709926832916,0.07110410153721136,-0.143096127365837,-0.06296847308589804,0.7461844484328506,0.0983313243051859,350170.9926832916,0.7405149167143014,0.0,1.0,25.466227126533987,188
Portfolio Base config weights,2008-01-31,2026-04-30,1.002442266021999,0.038791362946228425,-0.07901604652486238,-0.02793781746509276,0.8692790127340393,0.04478806909245545,200244.2266021999,0.3127134719971845,0.0,0.425,14.834174294351122,187
Portfolio Continuous Overlay config weights,2008-01-31,2026-04-30,0.8679282253089691,0.034839733262796324,-0.07861624358844899,-0.02695317874141992,0.8428958244675,0.04150992069860651,186792.8225308969,0.28798224429861696,0.06194752316593505,0.39189621335409786,11.18010820577455,220
Portfolio Ladder Overlay config weights,2008-01-31,2026-04-30,0.9497054087456598,0.03727290484637691,-0.08322150748360502,-0.02856968606704408,0.8492958832885482,0.04408618560959,194970.54087456598,0.3099606310880936,0.0,0.425,14.359904978122543,196
Portfolio Base 50/50,2008-01-31,2026-04-30,3.817828752623628,0.09000048081758605,-0.17842778244744828,-0.06504215665904742,0.8692790127340394,0.10538369198224813,481782.87526236277,0.7357964046992578,0.0,1.0,34.90393951612028,187
Portfolio Continuous Overlay 50/50,2008-01-31,2026-04-30,3.126540551478845,0.08078652252430696,-0.17824571050138083,-0.06265355064296295,0.8428958244675,0.09767040164378002,412654.05514788453,0.6776052807026283,0.14575887803749424,0.9221087373037595,26.306136954763648,220
Portfolio Ladder Overlay 50/50,2008-01-31,2026-04-30,3.5336704190225747,0.08637470058991936,-0.18789878507009172,-0.06642152269169167,0.8492958832885481,0.10373220143432943,453367.0419022575,0.729319131971985,0.0,1.0,33.78801171322951,196
